日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/01/04,"19,762,067","587,975,449",29.65,29.90,29.55,29.90,+0.10,"5,437"
110/01/05,"12,492,746","372,487,603",29.85,29.90,29.75,29.85,-0.05,"5,110"
110/01/06,"26,160,964","774,373,129",29.75,29.85,29.40,29.45,-0.40,"12,116"
110/01/07,"36,871,487","1,092,917,762",29.45,29.80,29.45,29.75,+0.30,"7,397"
110/01/08,"39,674,792","1,186,127,148",29.75,30.00,29.70,30.00,+0.25,"10,752"
110/01/11,"19,291,891","578,238,266",29.95,30.05,29.90,30.05,+0.05,"6,446"
110/01/12,"14,287,885","425,899,503",29.95,30.00,29.75,29.75,-0.30,"6,056"
110/01/13,"19,672,121","586,024,948",29.75,29.90,29.65,29.80,+0.05,"5,078"
110/01/14,"20,877,390","619,267,647",29.75,29.85,29.55,29.75,-0.05,"7,932"
110/01/15,"22,617,392","665,197,997",29.60,29.60,29.30,29.30,-0.45,"11,458"
110/01/18,"23,086,391","671,156,538",29.20,29.25,29.00,29.15,-0.15,"10,377"
110/01/19,"14,809,064","430,885,559",29.10,29.15,29.05,29.10,-0.05,"5,157"
110/01/20,"38,989,615","1,122,682,006",29.05,29.05,28.60,28.70,-0.40,"20,700"
110/01/21,"19,350,216","557,926,721",28.70,29.00,28.70,28.70, 0.00,"7,722"
110/01/22,"20,702,107","592,579,421",28.70,28.70,28.55,28.60,-0.10,"8,945"
110/01/25,"20,922,349","602,834,379",28.70,28.95,28.60,28.85,+0.25,"7,179"
110/01/26,"19,158,794","550,704,848",28.90,28.90,28.60,28.70,-0.15,"6,786"
110/01/27,"18,560,517","533,268,303",28.80,28.85,28.65,28.70, 0.00,"5,354"
110/01/28,"29,038,114","828,965,891",28.60,28.70,28.50,28.55,-0.15,"14,324"
110/01/29,"38,163,704","1,082,802,699",28.55,28.65,28.15,28.15,-0.40,"13,914"
